time_sec,messages_per_second
5,8896
6,2180
7,1604
8,2142
9,2327
10,3306
11,3202
12,1840
13,2775
14,1458
15,2600
17,1785
18,1393
19,1568
20,647
21,1339
22,959
23,1235
24,1073
25,1638
26,1315
27,1003
28,1450
29,1091
30,929
31,1235
32,1253
33,1255
34,1375
35,9
36,1101
37,1264
38,1588
39,1397
40,1390
41,1372
42,1239
43,1431
44,1416
45,1248
46,1400
47,1594
48,1529
49,1563
50,2193
51,2779
52,4179
53,6195
54,7344
55,546
56,1297
57,576
58,703
59,1255
61,1564
62,1481
63,1973
64,636
65,628
66,3759
67,4124
68,2300
69,3230
70,3460
71,2339
72,1746
73,730
74,1953
75,1654
76,623
77,1987
78,2068
79,1598
80,2099
81,1333
82,777
83,962
85,851
86,998
87,906
88,848
89,1061
90,1157
91,1653
92,2609
93,4085
94,5481
95,913
96,448
97,2515
98,3121
99,1893
100,3076
101,1807
102,2203
103,929
104,1262
105,1838
106,1132
107,1601
108,1288
109,1370
110,1290
111,1527
112,1368
113,1205
114,1428
115,1562
116,1524
117,1708
118,1
119,2064
120,2075
121,2325
122,2458
123,2049
124,1957
125,453
126,734
127,1858
128,1370
129,1813
130,1307
131,1053
132,1306
133,1146
134,1119
135,1248
136,1088
137,1393
138,1249
139,1244
140,3
141,1411
142,1396
143,1377
144,1705
145,2045
146,2992
147,3282
148,3554
149,3606
150,3895
151,2914
152,2504
153,2048
154,2363
155,2280
156,2178
157,2152
158,1330
159,1491
160,2027
161,770
162,3627
163,3193
164,1842
165,940
166,1607
167,1418
168,1185
169,1394
170,1078
171,1025
173,1196
174,1096
175,900
176,1466
177,1276
178,1372
179,1390
180,1556
181,2049
182,2720
183,4090
184,3250
185,3820
186,671
187,2055
188,1665
189,742
190,1025
191,1407
192,456
193,2014
194,2080
195,2022
196,1330
197,972
198,896
199,716
200,864
201,1
202,668
203,866
204,887
205,687
206,877
207,1003
208,973
209,882
210,1233
211,1733
212,2688
213,4310
214,2558
215,684
217,565
218,485
219,283
220,842
221,1586
222,1063
223,3499
224,2646
225,1333
226,856
227,1108
228,1066
229,1085
230,1065
231,1164
233,1134
234,1195
235,1367
236,1681
237,2400
238,3763
239,3478
240,2944
241,1785
242,836
243,423
244,1077
245,1130
246,1855
247,2554
248,2482
249,2080
250,1926
251,1886
252,1732
253,1615
254,1199
256,1235
257,1293
258,1063
259,1098
260,1181
261,1476
262,1634
263,1536
264,1611
265,1991
266,1933
267,1195
268,378
269,675
270,958
271,606
272,1482
273,1403
274,1761
275,1715
276,708
277,1154
278,399
279,848
280,3837
281,1385
282,962
283,957
284,773
285,275
286,938
287,1854
288,738
289,820
290,1759
291,1051
292,776
293,559
294,215
296,1272
297,641
298,903
299,1953
300,775
301,473
302,238
303,1356
304,604
305,1606
306,2135
307,1789
308,1843
309,2153
310,2337
312,2153
313,2351
314,2210
315,1725
316,2399
317,1967
318,1651
319,1703
320,1037
321,1857
322,1693
323,1753
324,1420
325,1643
326,1905
327,1876
329,2000
330,2361
331,2856
332,1108
333,2263
334,2278
335,679
336,1885
337,1276
338,1196
339,3506
340,1020
341,1372
342,3287
343,1620
344,1434
345,980
346,886
347,419
348,482
349,2165
350,929
351,841
352,1007
353,1185
354,400
355,1338
356,444
357,908
358,553
359,1344
360,829
361,1579
362,559
363,502
364,585
365,1381
366,2115
367,2119
368,2349
369,1531
371,1416
372,1952
373,1314
374,800
375,1740
376,1918
377,1956
378,1867
379,777
380,774
381,1655
382,1598
383,1472
384,2091
385,1864
386,1763
387,1856
388,1706
389,2174
390,806
392,783
393,2482
