Symbol,Quote Asset,Quote Price in USDT,24h Quote Volume,24h Volume in USD
BTCFDUSD,FDUSD,0.9994,2960260058.3522773,2958483902.317266
BTCUSDT,USDT,1,2219919986,2219919985.57
ETHUSDT,USDT,1,1230840089.955129,1230840089.955129
ETHFDUSD,FDUSD,0.9994,1166125893.997514,1165426218.4611154
USDCUSDT,USDT,1,1127692205,1127692205.00
SOLUSDT,USDT,1,865310251.8,865310251.83
SOLFDUSD,FDUSD,0.9994,557064412.1,556730173.4703494
XRPUSDT,USDT,1,554386410.3,554386410.35
FDUSDUSDT,USDT,1,493494812.3,493494812.35
TRUMPUSDT,USDT,1,482109683.8,482109683.84
BTCUSDC,USDC,1,429166578.7,429166578.74
SUIUSDT,USDT,1,307722614.5,307722614.52
LTCUSDT,USDT,1,262357382,262357381.97
PEPEUSDT,USDT,1,242621028.27866727,242621028.27866727
DOGEUSDT,USDT,1,220779399.5,220779399.50
ETHUSDC,USDC,1,168806226.9,168806226.86
OMUSDT,USDT,1,168509043.3,168509043.33
USUALUSDT,USDT,1,160900994.2,160900994.16
DOGEFDUSD,FDUSD,0.9994,153412821.6,153320773.9201721
ENAUSDT,USDT,1,134168157.1,134168157.11
XRPFDUSD,FDUSD,0.9994,126583723,126507772.73591816
WIFUSDT,USDT,1,118893309.7,118893309.68
BNBFDUSD,FDUSD,0.9994,115942851.5,115873285.8084084
ACHUSDT,USDT,1,113378352.4,113378352.38
TRXUSDT,USDT,1,110551828,110551827.97
LINKUSDT,USDT,1,108610828.5,108610828.50
BNBUSDT,USDT,1,104746711.6,104746711.57
ETHBTC,BTC,105222.45,973.3317396,102416350.30136956
RUNEUSDT,USDT,1,101511078.7,101511078.70
ADAUSDT,USDT,1,95264332.66,95264332.66
JUPUSDT,USDT,1,95241477.89,95241477.89
SOLUSDC,USDC,1,86813929.14,86813929.14
WLDUSDT,USDT,1,85028424.74,85028424.74
JASMYUSDT,USDT,1,79542325.33,79542325.33
SOLBTC,BTC,105222.45,736.258002,77470870.80359712
USDTTRY,TRY,0.027948575,2634865597,73640737.74902178
AIXBTUSDT,USDT,1,73472437.84,73472437.84
XLMUSDT,USDT,1,73391802.42,73391802.42
PENGUUSDT,USDT,1,72829714.69,72829714.69
TAOUSDT,USDT,1,71593221.62,71593221.62
SPELLUSDT,USDT,1,71235389.26,71235389.26
HBARUSDT,USDT,1,69275648.11,69275648.11
FDUSDUSDC,USDC,1,62546555.9,62546555.90
XRPUSDC,USDC,1,59101471.59,59101471.59
AAVEUSDT,USDT,1,58115878.43,58115878.43
WBTCBTC,BTC,105222.45,543.6848982,57207857.01239569
AVAXUSDT,USDT,1,53940774.52,53940774.52
BONKUSDT,USDT,1,52047430.76021222,52047430.76021222
APTUSDT,USDT,1,48771696.17,48771696.17
LDOUSDT,USDT,1,48233413.62,48233413.62
UNIUSDT,USDT,1,44947048.26,44947048.26
FETUSDT,USDT,1,42163908.38,42163908.38
SKLUSDT,USDT,1,41749906.16,41749906.16
NEIROUSDT,USDT,1,41434286.00721181,41434286.00721181
CRVUSDT,USDT,1,38809134.34,38809134.34
EIGENUSDT,USDT,1,38719579.6,38719579.60
SHIBUSDT,USDT,1,38512920.00407891,38512920.00407891
ARBUSDT,USDT,1,38321851.42,38321851.42
NEARUSDT,USDT,1,36559421.34,36559421.34
USUALTRY,TRY,0.027948575,1289505345,36039836.34759642
FLOKIUSDT,USDT,1,35756106.34295126,35756106.34295126
RAYUSDT,USDT,1,35542297.31,35542297.31
DOTUSDT,USDT,1,34524643.27,34524643.27
PNUTUSDT,USDT,1,33404116.63,33404116.63
SUSDT,USDT,1,32842925.36,32842925.36
USDTBRL,BRL,0.17035775127768313,189097759,32214269.000834752
MOVEUSDT,USDT,1,32202540.91,32202540.91
GALAUSDT,USDT,1,32166388.96,32166388.96
RENDERUSDT,USDT,1,29882882.5,29882882.50
EURUSDT,USDT,1,28902273.95,28902273.95
ACHTRY,TRY,0.027948575,1019607980,28496589.711260475
1000SATSUSDT,USDT,1,28346870.2,28346870.20
DEXEUSDT,USDT,1,28321902.64,28321902.64
BTCEUR,EUR,1.0433,26591677.18,27743096.801762126
SEIUSDT,USDT,1,27325413.25,27325413.25
VETUSDT,USDT,1,27319386.23,27319386.23
SUIUSDC,USDC,1,27137604.94,27137604.94
ALGOUSDT,USDT,1,27133391.94,27133391.94
TONUSDT,USDT,1,27009442.84,27009442.84
FILUSDT,USDT,1,26278062.06,26278062.06
XRPBTC,BTC,105222.45,247.0579503,25996042.81938756
TRUMPUSDC,USDC,1,25394800.45,25394800.45
ACTUSDT,USDT,1,25347750.5,25347750.50
OPUSDT,USDT,1,22638358.19,22638358.19
TIAUSDT,USDT,1,22236160.31,22236160.31
INJUSDT,USDT,1,21959457.59,21959457.59
IOUSDT,USDT,1,21946373.82,21946373.82
SOLVUSDT,USDT,1,21227417.56,21227417.56
ANIMEUSDT,USDT,1,20949555.29,20949555.29
SOLETH,ETH,3264.66,6336.953379,20687998.21913495
GMTUSDT,USDT,1,20217941.24,20217941.24
ETHFIUSDT,USDT,1,18980280.8,18980280.80
TURBOUSDT,USDT,1,18802363.27,18802363.27
RSRUSDT,USDT,1,17660783.24,17660783.24
BCHUSDT,USDT,1,17383230.58,17383230.58
LTCUSDC,USDC,1,17367642.06,17367642.06
BIOUSDT,USDT,1,17194574.54,17194574.54
TRUMPTRY,TRY,0.027948575,604182025.4,16886026.42223309
BOMEUSDT,USDT,1,16844254.33,16844254.33
ARKMUSDT,USDT,1,16392612.07,16392612.07
SPELLTRY,TRY,0.027948575,581818037.1,16260984.827621017
ZENUSDT,USDT,1,16258090.49,16258090.49
PENGUTRY,TRY,0.027948575,580050307.9,16211579.316050867
ICPUSDT,USDT,1,16111070.98,16111070.98
ADAUSDC,USDC,1,16036009.59,16036009.59
MEMEUSDT,USDT,1,15816166.79,15816166.79
WUSDT,USDT,1,15443479.58,15443479.58
PEPEFDUSD,FDUSD,0.9994,15350435.86474524,15341225.603226393
DUSDT,USDT,1,15325651.04,15325651.04
SANDUSDT,USDT,1,15239813.08,15239813.08
LTCBTC,BTC,105222.45,143.7292472,15123543.530196313
DOGEUSDC,USDC,1,15113257.89,15113257.89
JTOUSDT,USDT,1,15078236.41,15078236.41
PEPETRY,TRY,0.027948575,535718248.1556653,14972561.435317643
BTCBRL,BRL,0.17035775127768313,87002499.92,14821550.241993185
BNBUSDC,USDC,1,14713963.17,14713963.17
ARUSDT,USDT,1,14631673.53,14631673.53
XRPTRY,TRY,0.027948575,515450183.3,14406097.91307993
CETUSUSDT,USDT,1,14273719.49,14273719.49
DYDXUSDT,USDT,1,14030972.09,14030972.09
ORDIUSDT,USDT,1,13758523.41,13758523.41
AXSUSDT,USDT,1,13608098.18,13608098.18
ETCUSDT,USDT,1,13139614.53,13139614.53
ATOMUSDT,USDT,1,13107916.36,13107916.36
PENDLEUSDT,USDT,1,13004018.09,13004018.09
POLUSDT,USDT,1,12956453.14,12956453.14
JASMYTRY,TRY,0.027948575,459325975,12837506.28859698
ENSUSDT,USDT,1,11426421.89,11426421.89
VTHOUSDT,USDT,1,11275628.98,11275628.98
BTCTRY,TRY,0.027948575,392628139.5,10973396.856655674
LTCFDUSD,FDUSD,0.9994,10786422.11,10779950.26
SUSHIUSDT,USDT,1,10549438.83,10549438.83
ZROUSDT,USDT,1,10464244.71,10464244.71
WBTCUSDT,USDT,1,10435565.67,10435565.67
FTTUSDT,USDT,1,10433600.01,10433600.01
BELUSDT,USDT,1,10300235.73,10300235.73
TNSRUSDT,USDT,1,9998758.688,9998758.69
PEPEUSDC,USDC,1,9960034.523,9960034.52
CFXUSDT,USDT,1,9864284.939,9864284.94
MKRUSDT,USDT,1,9847764.719,9847764.72
SUIBTC,BTC,105222.45,92.73120772,9757404.867757313
APEUSDT,USDT,1,9751852.552,9751852.55
MANTAUSDT,USDT,1,9713289.643,9713289.64
STXUSDT,USDT,1,9704346.269,9704346.27
LINKFDUSD,FDUSD,0.9994,9226434.38,9220898.519372001
XVGUSDT,USDT,1,8968625.028,8968625.03
EURUSDC,USDC,1,8952004.926,8952004.93
AIUSDT,USDT,1,8927260.592,8927260.59
LINKUSDC,USDC,1,8853563.668,8853563.67
XAIUSDT,USDT,1,8852932.267,8852932.27
BEAMXUSDT,USDT,1,8753689.691,8753689.69
VANAUSDT,USDT,1,8658936.353,8658936.35
GRTUSDT,USDT,1,8627277.018,8627277.02
IOTAUSDT,USDT,1,8624778.616,8624778.62
ETHEUR,EUR,1.0433,7991389.464,8337416.6281052325
SUIFDUSD,FDUSD,0.9994,8342324.018,8337318.624078905
KDAUSDT,USDT,1,8282388.643,8282388.64
EOSUSDT,USDT,1,8258307.067,8258307.07
ETHTRY,TRY,0.027948575,290280732.8,8112932.721126327
CHZUSDT,USDT,1,7938633.102,7938633.10
NOTUSDT,USDT,1,7845916.473,7845916.47
ZKUSDT,USDT,1,7726363.636,7726363.64
EGLDUSDT,USDT,1,7687039.804,7687039.80
DOGEBTC,BTC,105222.45,72.78768783,7658898.843307783
STRKUSDT,USDT,1,7564085.846,7564085.85
CGPTUSDT,USDT,1,7387080.359,7387080.36
PHAUSDT,USDT,1,7353331.166,7353331.17
SOLEUR,EUR,1.0433,7032625.126,7337137.79
ROSEUSDT,USDT,1,7297743.271,7297743.27
ACTTRY,TRY,0.027948575,258784230.9,7232650.389547233
SAGAUSDT,USDT,1,7175968.076,7175968.08
CAKEUSDT,USDT,1,7095804.227,7095804.23
BNSOLSOL,SOL,240.9,28691.7275,6911837.154195931
THETAUSDT,USDT,1,6552326.415,6552326.41
WIFTRY,TRY,0.027948575,233465380.2,6525024.6012045825
1000CATUSDT,USDT,1,6516105.873,6516105.87
DOGETRY,TRY,0.027948575,233060797.6,6513717.09
QNTUSDT,USDT,1,6426379.912,6426379.91
OMTRY,TRY,0.027948575,228912205.3,6397769.85
ENATRY,TRY,0.027948575,226806435,6338916.572782839
XRPEUR,EUR,1.0433,5972117.72,6230710.42
HIVEUSDT,USDT,1,6176842.876,6176842.88
SCRUSDT,USDT,1,6105701.511,6105701.51
COWUSDT,USDT,1,6099301.664,6099301.66
OGUSDT,USDT,1,6089078.657,6089078.66
COOKIEUSDT,USDT,1,6016595.276,6016595.28
BNBBTC,BTC,105222.45,57.04636269,6002558.05
ALTUSDT,USDT,1,5887673.5,5887673.50
NEOUSDT,USDT,1,5741953.506,5741953.51
PONDUSDT,USDT,1,5735394.311,5735394.31
ENAUSDC,USDC,1,5607382.48,5607382.48
PEOPLEUSDT,USDT,1,5584272.5,5584272.50
AEVOUSDT,USDT,1,5582068.966,5582068.97
LEVERUSDT,USDT,1,5580370.934,5580370.93
VANRYUSDT,USDT,1,5576790.807,5576790.81
RUNEUSDC,USDC,1,5558709.99,5558709.99
THEUSDT,USDT,1,5553979.117,5553979.12
PIXELUSDT,USDT,1,5544146.006,5544146.01
NEIROTRY,TRY,0.027948575,196636971.6,5495723.07
ONEUSDT,USDT,1,5432886.701,5432886.70
WIFUSDC,USDC,1,5352987.608,5352987.61
1MBABYDOGEUSDT,USDT,1,5340837.912,5340837.91
BONKTRY,TRY,0.027948575,189395361.6923466,5293330.399450715
PHBUSDT,USDT,1,5255690.244,5255690.24
MEUSDT,USDT,1,5241815.855,5241815.85
STPTUSDT,USDT,1,5181891.856,5181891.86
SOLTRY,TRY,0.027948575,184497438.6,5156440.431716043
AIXBTUSDC,USDC,1,5033860.598,5033860.60
LUNCUSDT,USDT,1,5033765.672,5033765.67
EURIUSDT,USDT,1,4991355.669,4991355.67
ASTRUSDT,USDT,1,4990166.039,4990166.04
ACXUSDT,USDT,1,4913974.977,4913974.98
LQTYUSDT,USDT,1,4906241.691,4906241.69
IMXUSDT,USDT,1,4901164.928,4901164.93
ADAFDUSD,FDUSD,0.9994,4854956.004,4852043.03
PNUTTRY,TRY,0.027948575,171773042.5,4800811.697400782
1000SATSTRY,TRY,0.027948575,170149868.5,4755446.297984321
ETHBRL,BRL,0.17035775127768313,27463380.48,4678599.7412519585
DTRY,TRY,0.027948575,166725650.4,4659744.282741755
SSVUSDT,USDT,1,4602254.196,4602254.20
HBARUSDC,USDC,1,4551569.159,4551569.16
LAZIOUSDT,USDT,1,4541164.034,4541164.03
FIDAUSDT,USDT,1,4540175.849,4540175.85
SKLTRY,TRY,0.027948575,161924895.8,4525570.032671883
KAIAUSDT,USDT,1,4487972.655,4487972.66
SNXUSDT,USDT,1,4436314.011,4436314.01
AMPUSDT,USDT,1,4384324.809,4384324.81
SUPERUSDT,USDT,1,4328032.148,4328032.15
XVGTRY,TRY,0.027948575,152846024.8,4271828.530455561
MINAUSDT,USDT,1,4267639.721,4267639.72
FDUSDTRY,TRY,0.027948575,152634583.2,4265919.037730575
USDTDAI,DAI,1.000300090027008,4208256.645,4209519.50
PYTHUSDT,USDT,1,4112427.884,4112427.88
MANAUSDT,USDT,1,4109878.805,4109878.80
LPTUSDT,USDT,1,4088957.982,4088957.98
FXSUSDT,USDT,1,4076652.764,4076652.76
HFTUSDT,USDT,1,4020595.216,4020595.22
LINKBTC,BTC,105222.45,38.07359424,4006196.8662386877
BTCJPY,JPY,0.006463644,602540238.7,3894605.68
AAVEUSDC,USDC,1,3880634.111,3880634.11
LTCTRY,TRY,0.027948575,136952290,3827621.295807713
WLDUSDC,USDC,1,3803052.383,3803052.38
RONINUSDT,USDT,1,3765100.608,3765100.61
LUNAUSDT,USDT,1,3761395.31,3761395.31
TRXTRY,TRY,0.027948575,133010014.3,3717440.310089435
AVAXUSDC,USDC,1,3689284.921,3689284.92
CHRUSDT,USDT,1,3681255.282,3681255.28
DASHUSDT,USDT,1,3630387.793,3630387.79
FLUXUSDT,USDT,1,3621859.679,3621859.68
WBETHETH,ETH,3264.66,1107.194733,3614614.357590772
EIGENTRY,TRY,0.027948575,127519225.3,3563980.584712129
AAVEETH,ETH,3264.66,1074.572143,3508112.692856079
ZILUSDT,USDT,1,3503866.945,3503866.94
SHIBUSDC,USDC,1,3503061.408,3503061.41
DOGSUSDT,USDT,1,3500035.846,3500035.85
TROYUSDT,USDT,1,3497178.539,3497178.54
HOTUSDT,USDT,1,3491652.946,3491652.95
FLOKITRY,TRY,0.027948575,123413149.5,3449221.6194494683
XRPETH,ETH,3264.66,1046.747184,3417273.660411576
BBUSDT,USDT,1,3406856.419,3406856.42
AIXBTTRY,TRY,0.027948575,121708820.4,3401588.048267188
USUALUSDC,USDC,1,3387972.691,3387972.69
TRBUSDT,USDT,1,3382015.631,3382015.63
TURBOTRY,TRY,0.027948575,119078786.4,3328082.3471660144
TRUUSDT,USDT,1,3321667.843,3321667.84
PORTALUSDT,USDT,1,3308820.67,3308820.67
PAXGUSDT,USDT,1,3267709.527,3267709.53
CLVUSDT,USDT,1,3215421.231,3215421.23
ANKRUSDT,USDT,1,3214356.936,3214356.94
AVAXTRY,TRY,0.027948575,114901755.4,3211340.284991615
COTIUSDT,USDT,1,3205246.989,3205246.99
USDCTRY,TRY,0.027948575,114043205.8,3187345.0483510336
CKBUSDT,USDT,1,3180088.224,3180088.22
WLDTRY,TRY,0.027948575,111814617.6,3125059.184348798
XTZUSDT,USDT,1,3111916.276,3111916.28
COMPUSDT,USDT,1,3097000.783,3097000.78
AGLDUSDT,USDT,1,3086821.026,3086821.03
SOLVTRY,TRY,0.027948575,110124766.8,3077830.2633314696
SANTOSUSDT,USDT,1,3035991.333,3035991.33
ACEUSDT,USDT,1,3024951.336,3024951.34
DYMUSDT,USDT,1,3006793.587,3006793.59
JUPUSDC,USDC,1,2996524.595,2996524.59
OMNIUSDT,USDT,1,2970998.297,2970998.30
SUITRY,TRY,0.027948575,105612952.5,2951731.4828116265
CRVUSDC,USDC,1,2908056.468,2908056.47
LUMIAUSDT,USDT,1,2884562.512,2884562.51
AVAUSDT,USDT,1,2854689.973,2854689.97
TAOUSDC,USDC,1,2842942.353,2842942.35
TRXBTC,BTC,105222.45,26.61815033,2800826.992190908
MAGICUSDT,USDT,1,2784111.98,2784111.98
HMSTRUSDT,USDT,1,2732705.469,2732705.47
REZUSDT,USDT,1,2729909.183,2729909.18
VELODROMEUSDT,USDT,1,2727055.643,2727055.64
OMUSDC,USDC,1,2721358.091,2721358.09
PYRUSDT,USDT,1,2706623.822,2706623.82
TKOUSDT,USDT,1,2695551.354,2695551.35
