Symbol,Quote Asset,Quote Price in USDT,24h Quote Volume,24h Volume in USD
BNBBTC,BTC,105222.45,57.04636269,6002558.04583039
ETHBTC,BTC,105222.45,973.33173958,102416350.30136956
BNTETH,ETH,3264.66,0.0,0.0
SNTETH,ETH,3264.66,0.9951599,3248.858719134
NEOBTC,BTC,105222.45,1.62729529,171227.99728726048
QTUMETH,ETH,3264.66,1.1098816,3623.386064256
BCCBTC,BTC,105222.45,0.0,0.0
LTCBTC,BTC,105222.45,143.72924723,15123543.530196313
EOSETH,ETH,3264.66,1.2885665,4206.73150989
GASBTC,BTC,105222.45,0.30721299,32325.7034796255
BNBETH,ETH,3264.66,523.6546358,1709554.343310828
BTCUSDT,USDT,1.0,2219919985.56963,2219919985.56963
ETHUSDT,USDT,1.0,1230840089.955129,1230840089.955129
HSRBTC,BTC,105222.45,0.0,0.0
OAXETH,ETH,3264.66,0.0,0.0
DNTETH,ETH,3264.66,0.0,0.0
MCOETH,ETH,3264.66,0.0,0.0
ICNETH,ETH,3264.66,0.0,0.0
MCOBTC,BTC,105222.45,0.0,0.0
WTCBTC,BTC,105222.45,0.0,0.0
WTCETH,ETH,3264.66,0.0,0.0
LRCBTC,BTC,105222.45,0.38862029,40891.5790335105
LRCETH,ETH,3264.66,1.53187999,5001.0673281534
QTUMBTC,BTC,105222.45,0.10241562,10776.422454669
YOYOBTC,BTC,105222.45,0.0,0.0
OMGETH,ETH,3264.66,0.0,0.0
OMGBTC,BTC,105222.45,0.0,0.0
ZRXETH,ETH,3264.66,0.0,0.0
ZRXBTC,BTC,105222.45,0.20119189,21169.9035859305
STRATBTC,BTC,105222.45,0.0,0.0
STRATETH,ETH,3264.66,0.0,0.0
SNGLSBTC,BTC,105222.45,0.0,0.0
SNGLSETH,ETH,3264.66,0.0,0.0
BQXBTC,BTC,105222.45,0.0,0.0
BQXETH,ETH,3264.66,0.0,0.0
KNCBTC,BTC,105222.45,0.24501734,25781.324807283
KNCETH,ETH,3264.66,0.0,0.0
FUNETH,ETH,3264.66,0.0,0.0
FUNBTC,BTC,105222.45,0.0,0.0
SNMBTC,BTC,105222.45,0.0,0.0
SNMETH,ETH,3264.66,0.0,0.0
NEOETH,ETH,3264.66,0.0,0.0
IOTABTC,BTC,105222.45,6.9462195,730898.234027775
IOTAETH,ETH,3264.66,3.51923312,11489.0995975392
LINKBTC,BTC,105222.45,38.07359424,4006196.8662386877
LINKETH,ETH,3264.66,245.53133995,801576.3442811669
XVGBTC,BTC,105222.45,0.0,0.0
XVGETH,ETH,3264.66,25.41487253,82970.91775378979
SALTBTC,BTC,105222.45,0.0,0.0
SALTETH,ETH,3264.66,0.0,0.0
MDABTC,BTC,105222.45,0.0,0.0
MDAETH,ETH,3264.66,0.0,0.0
MTLBTC,BTC,105222.45,0.12403574,13051.344450363
MTLETH,ETH,3264.66,0.0,0.0
SUBBTC,BTC,105222.45,0.0,0.0
SUBETH,ETH,3264.66,0.0,0.0
EOSBTC,BTC,105222.45,2.35078244,247355.087753778
SNTBTC,BTC,105222.45,0.07419088,7806.546161256
ETCETH,ETH,3264.66,21.1359576,69001.715338416
ETCBTC,BTC,105222.45,3.28357009,345505.2896165205
MTHBTC,BTC,105222.45,0.0,0.0
MTHETH,ETH,3264.66,0.0,0.0
ENGBTC,BTC,105222.45,0.0,0.0
ENGETH,ETH,3264.66,0.0,0.0
DNTBTC,BTC,105222.45,0.0,0.0
ZECBTC,BTC,105222.45,2.91608289,306837.38608888054
ZECETH,ETH,3264.66,8.13466488,26556.915047140803
BNTBTC,BTC,105222.45,0.0,0.0
ASTBTC,BTC,105222.45,0.0,0.0
DASHBTC,BTC,105222.45,1.50792167,158667.2125254915
ASTETH,ETH,3264.66,0.0,0.0
DASHETH,ETH,3264.66,10.30439507,33640.3464092262
OAXBTC,BTC,105222.45,0.0,0.0
ICNBTC,BTC,105222.45,0.0,0.0
REQETH,ETH,3264.66,0.0,0.0
VIBBTC,BTC,105222.45,0.1137569,11969.779722405
TRXETH,ETH,3264.66,118.73288152,387622.4889830832
BTGBTC,BTC,105222.45,0.0,0.0
EVXBTC,BTC,105222.45,0.0,0.0
EVXETH,ETH,3264.66,0.0,0.0
REQBTC,BTC,105222.45,0.0626824,6595.595699879999
POWRBTC,BTC,105222.45,0.19069511,20065.4066772195
VIBETH,ETH,3264.66,0.0,0.0
HSRETH,ETH,3264.66,0.0,0.0
POWRETH,ETH,3264.66,5.4948499,17938.816674534
TRXBTC,BTC,105222.45,26.61815033,2800826.992190908
MODETH,ETH,3264.66,0.0,0.0
ENJBTC,BTC,105222.45,0.73767708,77620.189666446
MODBTC,BTC,105222.45,0.0,0.0
ARKBTC,BTC,105222.45,0.0,0.0
XRPBTC,BTC,105222.45,247.05795027,25996042.81938756
ARKETH,ETH,3264.66,0.0,0.0
BNBUSDT,USDT,1.0,104746711.56952,104746711.56952
STORJETH,ETH,3264.66,0.0,0.0
YOYOETH,ETH,3264.66,0.0,0.0
VENBNB,BNB,680.04,0.0,0.0
ENJETH,ETH,3264.66,0.0,0.0
STORJBTC,BTC,105222.45,0.07085013,7455.0242614185
YOYOBNB,BNB,680.04,0.0,0.0
VENETH,ETH,3264.66,0.0,0.0
XRPETH,ETH,3264.66,1046.7471836,3417273.660411576
RCNETH,ETH,3264.66,0.0,0.0
NULSBTC,BTC,105222.45,0.11237455,11824.3254686475
POWRBNB,BNB,680.04,0.0,0.0
KMDBTC,BTC,105222.45,0.14506036,15263.606477082
VENBTC,BTC,105222.45,0.0,0.0
BTGETH,ETH,3264.66,0.0,0.0
